Metric,Value
starting_time,0.6310644149780273
first_iterations_time,1.0728836059570312e-05
middle_iterations_time,0.025697708129882812
final_iterations_time,0.00011157989501953125
closing_time,15.147366046905518
total_time,15.80425763130188
counter,199
write_data_from_aswing_time,2.1696090698242188e-05
process_data_from_aswing_time,0.011739015579223633
compute_PID_instructions_time,0.00044655799865722656
write_flap_commands_time,0.00767827033996582
compute_K_iterations_time,0.0009899139404296875
full_iteration_time,0.021057605743408203
